! CMT, M5090, 24507075, 25.3.3/3
! Date: 30-10-2025 14:59:47
! Stimulus(Hz);    S22(Real);         S22(Imag)
4,12265450000E+09;+3,14553376848E-02;+5,81262883524E-02
4,16515300000E+09;+2,85220880925E-02;-5,32348347947E-02
4,20765150000E+09;-5,16715508074E-02;-2,32629868787E-02
4,25015000000E+09;-7,72528312508E-03;+4,31076458278E-02
4,29264850000E+09;+2,91901056928E-02;-2,04820391128E-02
4,33514700000E+09;-3,80707912884E-02;-2,54684217047E-02
4,37764550000E+09;-2,46914349853E-02;+4,26383843366E-02
4,42014400000E+09;+4,62780754192E-02;-3,33693376199E-03
4,46264250000E+09;-3,50584057549E-02;-5,60703762851E-02
4,50514100000E+09;-6,40517060678E-02;+4,46037017496E-02
4,54763950000E+09;+5,52675882422E-02;+3,62524874856E-02
4,59013800000E+09;+1,88519998711E-02;-6,60599796255E-02
4,63263650000E+09;-8,05012856580E-02;-2,84410963793E-02
4,67513500000E+09;-1,97047968298E-02;+6,29422914561E-02
4,71763350000E+09;+6,27628871406E-02;+1,79391813554E-02
4,76013200000E+09;+1,47315026533E-02;-8,98420641921E-02
4,80263050000E+09;-9,74343907184E-02;-2,72852198759E-02
4,84512900000E+09;-1,52348670237E-02;+1,15713443547E-01
4,88762750000E+09;+1,33497896383E-01;-1,39589691533E-02
4,93012600000E+09;-2,86575177708E-02;-1,51193038070E-01
4,97262450000E+09;-1,43739871262E-01;+7,08078712119E-02
5,01512300000E+09;+1,04857822505E-01;+1,25174852077E-01
5,05762150000E+09;+1,08538431844E-01;-1,22105725546E-01
5,10012000000E+09;-1,36214806948E-01;-7,67944620298E-02
5,14261850000E+09;-4,76761921845E-02;+1,46540078006E-01
5,18511700000E+09;+1,40578298266E-01;+1,47639545073E-02
5,22761550000E+09;-1,55149515931E-02;-1,21862211306E-01
5,27011400000E+09;-1,03814715671E-01;+2,74537217296E-02
5,31261250000E+09;+3,16818691117E-02;+8,08446137985E-02
5,35511100000E+09;+5,29346189908E-02;-4,93789599758E-02
5,39760950000E+09;-3,44371541866E-02;-4,73270606466E-02
5,44010800000E+09;-5,11584995437E-02;+8,45360556019E-03
5,48260650000E+09;+6,43936713775E-03;+3,30999092290E-02
5,52510500000E+09;+4,37712090902E-02;-2,54105211211E-02
5,56760350000E+09;-3,10825220991E-02;-6,23095880635E-02
5,61010200000E+09;-4,53216913377E-02;+2,69101448296E-02
5,65260050000E+09;+4,84145101047E-02;+1,19062905575E-02
5,69509900000E+09;+1,19291937071E-02;-5,85324455502E-02
5,73759750000E+09;-3,71098276637E-02;-2,09723535505E-02
5,78009600000E+09;+6,45417497611E-03;+2,38625480602E-02
5,82259450000E+09;+3,49573223271E-02;-2,66643419473E-02
5,86509300000E+09;-1,93202397636E-02;-3,32766432862E-02
5,90759150000E+09;-2,02670801035E-02;+1,40364870510E-02
5,95009000000E+09;+4,32242363981E-02;+9,04498965812E-03
5,99258850000E+09;+9,78705069563E-03;-5,95436776611E-02
6,03508700000E+09;-6,81800002025E-02;-6,37085603791E-03
6,07758550000E+09;+1,56341559079E-02;+6,35659423825E-02
6,12008400000E+09;+7,57160036865E-02;-4,19624936338E-02
6,16258250000E+09;-7,48175244084E-02;-9,55100256707E-02
6,20508100000E+09;-8,08266157165E-02;+7,81571083902E-02
6,24757950000E+09;+9,93107633337E-02;+5,46375701968E-02
6,29007800000E+09;+3,20659880561E-02;-1,44420147371E-01
6,33257650000E+09;-1,52686516900E-01;-4,15693161918E-02
6,37507500000E+09;-1,48487533772E-02;+1,32583802220E-01
6,41757350000E+09;+1,34178695031E-01;-1,67382380655E-02
6,46007200000E+09;-1,70931558926E-02;-1,67807501162E-01
6,50257050000E+09;-1,70225623147E-01;-2,04781598801E-03
6,54506900000E+09;+1,43592667796E-02;+1,58032461778E-01
6,58756750000E+09;+1,81901104564E-01;-4,98575012331E-02
6,63006600000E+09;-6,25748113239E-02;-2,17366374230E-01
6,67256450000E+09;-2,20781153594E-01;+6,26501966561E-02
6,71506300000E+09;+7,60247999965E-02;+2,05808206444E-01
6,75756150000E+09;+2,22726952770E-01;-1,18062005162E-01
6,80006000000E+09;-1,40139363485E-01;-2,64975696802E-01
6,84255850000E+09;-3,05962594915E-01;+1,51755050451E-01
6,88505700000E+09;+2,27167318429E-01;+3,35615153857E-01
6,92755550000E+09;+3,61204340427E-01;-4,41510660376E-01
