! CMT, M5090, 24507075, 25.3.3/3
! Date: 30-10-2025 15:00:04
! Stimulus(Hz);    S11(Real);         S11(Imag)
4,12265450000E+09;-4,96613130201E-02;-5,66552704605E-02
4,16515300000E+09;-8,86328285278E-02;-1,56402406628E-02
4,20765150000E+09;-1,02756640093E-01;+3,40902687886E-02
4,25015000000E+09;-9,20747215915E-02;+8,82867490630E-02
4,29264850000E+09;-5,21987118153E-02;+1,21125352401E-01
4,33514700000E+09;-1,66595030915E-02;+1,25093687503E-01
4,37764550000E+09;+5,00033351959E-03;+1,20060516467E-01
4,42014400000E+09;+2,63675890082E-02;+1,16158861731E-01
4,46264250000E+09;+3,78683033278E-02;+9,57010671653E-02
4,50514100000E+09;+3,61789558807E-02;+9,48060336200E-02
4,54763950000E+09;+3,79489925659E-02;+8,76793997564E-02
4,59013800000E+09;+3,90760541665E-02;+9,12775976515E-02
4,63263650000E+09;+4,66913022191E-02;+9,64869615494E-02
4,67513500000E+09;+5,30959168223E-02;+9,04614720309E-02
4,71763350000E+09;+6,83999706775E-02;+9,51776184987E-02
4,76013200000E+09;+8,23563102556E-02;+7,76912347690E-02
4,80263050000E+09;+8,15981638198E-02;+5,75874956121E-02
4,84512900000E+09;+6,31426613442E-02;+4,76344875214E-02
4,88762750000E+09;+4,94007141068E-02;+5,91373897093E-02
4,93012600000E+09;+4,48630889723E-02;+8,77439764490E-02
4,97262450000E+09;+8,71344992062E-02;+1,22059079247E-01
5,01512300000E+09;+1,51243943446E-01;+1,04766500033E-01
5,05762150000E+09;+1,96329768895E-01;+4,60557342717E-02
5,10012000000E+09;+1,95453085635E-01;-3,73515640708E-02
5,14261850000E+09;+1,43641958211E-01;-9,94830846788E-02
5,18511700000E+09;+7,63362373907E-02;-1,23224779580E-01
5,22761550000E+09;+1,61922863697E-02;-1,08933929936E-01
5,27011400000E+09;-1,95388515832E-02;-7,64290703226E-02
5,31261250000E+09;-2,79700156895E-02;-4,44778807478E-02
5,35511100000E+09;-2,31311038505E-02;-3,05805707573E-02
5,39760950000E+09;-3,26403784993E-02;-3,52454269281E-02
5,44010800000E+09;-5,22637845641E-02;-2,10744983083E-02
5,48260650000E+09;-6,55564151926E-02;-1,17968234689E-02
5,52510500000E+09;-8,47923369874E-02;+1,24643600205E-02
5,56760350000E+09;-8,67535070796E-02;+4,45053984955E-02
5,61010200000E+09;-7,34398575399E-02;+6,75248524877E-02
5,65260050000E+09;-6,23021166749E-02;+7,77111690805E-02
5,69509900000E+09;-5,47976468125E-02;+8,28223164429E-02
5,73759750000E+09;-5,10917358593E-02;+8,85105337787E-02
5,78009600000E+09;-4,76724540771E-02;+8,59030250974E-02
5,82259450000E+09;-6,25102657095E-02;+9,12777634674E-02
5,86509300000E+09;-6,92054350050E-02;+1,11087485639E-01
5,90759150000E+09;-6,70141811574E-02;+1,23969072324E-01
5,95009000000E+09;-7,32454965706E-02;+1,31824665977E-01
5,99258850000E+09;-9,16478207754E-02;+1,53910614039E-01
6,03508700000E+09;-1,01318965867E-01;+1,89518531882E-01
6,07758550000E+09;-1,04330846807E-01;+2,30423748192E-01
6,12008400000E+09;-1,04982805201E-01;+2,78472212296E-01
6,16258250000E+09;-1,00738198687E-01;+3,50228196832E-01
6,20508100000E+09;-6,55701035532E-02;+4,41399801969E-01
6,24757950000E+09;+2,26268224825E-02;+5,49309388306E-01
6,29007800000E+09;+1,86944189775E-01;+6,16906278772E-01
6,33257650000E+09;+3,88074273207E-01;+5,89507914575E-01
6,37507500000E+09;+5,37755220627E-01;+4,61828365512E-01
6,41757350000E+09;+6,07290276064E-01;+3,09386492179E-01
6,46007200000E+09;+6,04958507973E-01;+1,70979964301E-01
6,50257050000E+09;+5,73141006744E-01;+8,33875321794E-02
6,54506900000E+09;+5,57803768536E-01;+1,44154706555E-02
6,58756750000E+09;+5,23592187470E-01;-5,87533880827E-02
6,63006600000E+09;+4,71637213081E-01;-1,01904779016E-01
6,67256450000E+09;+4,37085801308E-01;-1,21376675750E-01
6,71506300000E+09;+4,14340487432E-01;-1,33975079008E-01
6,75756150000E+09;+4,06719457009E-01;-1,47442530051E-01
6,80006000000E+09;+4,06659667724E-01;-1,79972539909E-01
6,84255850000E+09;+3,90979515948E-01;-2,13907117935E-01
6,88505700000E+09;+3,75115214304E-01;-2,43769586580E-01
6,92755550000E+09;+3,66882476186E-01;-2,64469033160E-01
6,97005400000E+09;+4,23530875667E-01;-2,84382909329E-01
7,01255250000E+09;+2,78143295000E-01;-7,01497737153E-01
7,05505100000E+09;+7,46366570024E-02;-4,54756309847E-01
7,09754950000E+09;+5,15336499652E-02;-3,90436500529E-01
7,14004800000E+09;+3,41541150127E-02;-3,52037231378E-01
7,18254650000E+09;+2,11148801262E-02;-3,37609469172E-01
7,22504500000E+09;-5,57575821098E-03;-3,39770534538E-01
7,26754350000E+09;-4,85560908990E-02;-3,23664516574E-01
7,31004200000E+09;-8,93229892190E-02;-3,01011896874E-01
7,35254050000E+09;-1,36822143743E-01;-2,62844451140E-01
7,39503900000E+09;-1,61789960777E-01;-2,03518399552E-01
7,43753750000E+09;-1,70197787738E-01;-1,41245533911E-01
7,48003600000E+09;-1,53822108143E-01;-6,93781791937E-02
7,52253450000E+09;-9,85758220004E-02;-3,04528688594E-02
7,56503300000E+09;-5,32724355901E-02;-2,30403367138E-02
7,60753150000E+09;-1,32461730058E-02;-2,74359000752E-02
7,65003000000E+09;+1,00954141466E-02;-5,96801500902E-02
7,69252850000E+09;-1,16145429045E-03;-8,87077905876E-02
7,73502700000E+09;-2,66066403864E-02;-8,83758253191E-02
7,77752550000E+09;-3,73854993507E-02;-6,93704752035E-02
7,82002400000E+09;-2,92153225206E-02;-5,21174163545E-02
7,86252250000E+09;-1,87330096487E-02;-5,25785124955E-02
7,90502100000E+09;-2,21085981073E-02;-5,91671247819E-02
7,94751950000E+09;-4,18958860320E-02;-4,76938351452E-02
7,99001800000E+09;-3,71657462444E-02;-2,20494105765E-02
8,03251650000E+09;-2,60932062603E-02;-1,46927659364E-02
8,07501500000E+09;-3,29198775285E-02;-9,58320603881E-03
8,11751350000E+09;-3,93164041845E-02;+2,50621299007E-02
8,16001200000E+09;-1,02909842023E-02;+7,88431865572E-02
8,20251050000E+09;+6,56810357214E-02;+8,67914537225E-02
8,24500900000E+09;+1,11865097746E-01;+4,48821621096E-02
8,28750750000E+09;+1,15869883836E-01;+1,26679881652E-03
8,33000600000E+09;+1,02711808610E-01;-1,29911370704E-02
8,37250450000E+09;+1,04648779183E-01;-1,17778225406E-02
8,41500300000E+09;+1,18258497821E-01;-1,70892765121E-02
8,45750150000E+09;+1,32961623259E-01;-3,63497167811E-02
8,50000000000E+09;+1,36292615934E-01;-6,57777469072E-02
