! CMT, M5090, 24507075, 25.3.3/3
! Date: 30-10-2025 15:02:42
! Stimulus(Hz);    S22(Real);         S22(Imag)
3,00000000000E+05;+9,99174115049E-01;-1,06883338964E-02
4,27985000000E+07;-9,28990632420E-03;-9,99730896328E-01
8,52970000000E+07;-9,87078928560E-01;-2,42328831204E-02
1,27795500000E+08;-6,47104260855E-02;+9,77478146916E-01
1,70294000000E+08;+9,76726289683E-01;+8,61006641385E-02
2,12792500000E+08;+9,68989767014E-02;-9,76401481948E-01
2,55291000000E+08;-9,67133693713E-01;-1,19230217071E-01
2,97789500000E+08;-1,62223811731E-01;+9,54912844974E-01
3,40288000000E+08;+9,50260596256E-01;+1,98700250762E-01
3,82786500000E+08;+2,04491975318E-01;-9,49112410405E-01
4,25285000000E+08;-9,40312610467E-01;-2,14908513829E-01
4,67783500000E+08;-2,62429163692E-01;+9,24529120054E-01
5,10282000000E+08;+9,13101385907E-01;+3,05782918114E-01
5,52780500000E+08;+3,08223212614E-01;-9,11653371254E-01
5,95279000000E+08;-9,04751326902E-01;-3,14299787391E-01
6,37777500000E+08;-3,56702966092E-01;+8,86225732302E-01
6,80276000000E+08;+8,69360678327E-01;+3,96751246733E-01
7,22774500000E+08;+4,08511702628E-01;-8,63926489547E-01
7,65273000000E+08;-8,56702113791E-01;-4,17558390926E-01
8,07771500000E+08;-4,42530182241E-01;+8,38950403321E-01
8,50270000000E+08;+8,18260653742E-01;+4,79870718240E-01
8,92768500000E+08;+5,10595237369E-01;-8,03507775871E-01
9,35267000000E+08;-7,96493619883E-01;-5,14245718696E-01
9,77765500000E+08;-5,17673594712E-01;+7,85315065957E-01
1,02026400000E+09;+7,58765355549E-01;+5,60874996295E-01
1,06276250000E+09;+6,02673620235E-01;-7,32703941759E-01
1,10526100000E+09;-7,30064231681E-01;-5,93755119907E-01
1,14775950000E+09;-5,91026914847E-01;+7,24147390908E-01
1,19025800000E+09;+6,89757989252E-01;+6,40519777736E-01
1,23275650000E+09;+6,77295507978E-01;-6,56644625606E-01
1,27525500000E+09;-6,55856617022E-01;-6,65386041661E-01
1,31775350000E+09;-6,68393912618E-01;+6,49663027054E-01
1,36025200000E+09;+6,14639276886E-01;+7,08048981562E-01
1,40275050000E+09;+7,33419100005E-01;-5,82491513119E-01
